"RESERVATION_ID","USER_ID","PLACE_ID","CHECK_IN","CHECK_OUT","VISIT_TIME","TICKET_ID","GUEST_COUNT","REQUEST_NOTE","STATUS","PAYMENT_ID","CREATED_AT","UPDATED_AT"
R2026031302051,user02,145,2026-02-07 00:00:00.000,2026-02-10 00:00:00.000,,,4,[NULL],RESERVED,,2026-02-01 00:00:00.000,2026-03-13 12:44:22.431
R2026031302052,user03,146,2026-02-03 00:00:00.000,2026-02-04 00:00:00.000,,,5,[NULL],CANCELLED,,2026-01-27 00:00:00.000,2026-03-13 12:44:22.431
R2026031302053,user04,147,2026-02-21 00:00:00.000,2026-02-23 00:00:00.000,,,4,[NULL],RESERVED,,2026-02-17 00:00:00.000,2026-03-13 12:44:22.431
R2026031302054,user05,148,2026-02-09 00:00:00.000,2026-02-12 00:00:00.000,,,3,[NULL],RESERVED,,2026-02-05 00:00:00.000,2026-03-13 12:44:22.431
R2026031302055,user06,149,2026-03-19 00:00:00.000,2026-03-22 00:00:00.000,,,3,[NULL],PENDING,,2026-03-14 00:00:00.000,2026-03-13 12:44:22.431
R2026031302056,user07,150,2026-03-08 00:00:00.000,2026-03-10 00:00:00.000,,,4,[NULL],COMPLETED,,2026-03-08 00:00:00.000,2026-03-13 12:44:22.431
R2026031302057,user01,151,2026-01-29 00:00:00.000,2026-01-30 00:00:00.000,,,3,[NULL],CANCELLED,,2026-01-22 00:00:00.000,2026-03-13 12:44:22.431
R2026031302058,user02,152,2026-02-17 00:00:00.000,2026-02-18 00:00:00.000,,,5,[NULL],COMPLETED,,2026-02-14 00:00:00.000,2026-03-13 12:44:22.431
R2026031302059,user03,153,2026-02-18 00:00:00.000,2026-02-21 00:00:00.000,,,4,[NULL],CANCELLED,,2026-02-18 00:00:00.000,2026-03-13 12:44:22.431
R2026031302060,user04,154,2026-02-03 00:00:00.000,2026-02-06 00:00:00.000,,,2,[NULL],CANCELLED,,2026-02-01 00:00:00.000,2026-03-13 12:44:22.431
R2026031302061,user05,155,2026-02-14 00:00:00.000,2026-02-15 00:00:00.000,,,4,[NULL],COMPLETED,,2026-02-06 00:00:00.000,2026-03-13 12:44:22.431
R2026031302062,user06,156,2026-02-23 00:00:00.000,2026-02-26 00:00:00.000,,,4,[NULL],PENDING,,2026-02-21 00:00:00.000,2026-03-13 12:44:22.431
R2026031302063,user07,157,2026-01-12 00:00:00.000,2026-01-13 00:00:00.000,,,4,[NULL],COMPLETED,,2026-01-10 00:00:00.000,2026-03-13 12:44:22.431
R2026031302064,user01,158,2026-04-14 00:00:00.000,2026-04-16 00:00:00.000,,,5,[NULL],CANCELLED,,2026-04-08 00:00:00.000,2026-03-13 12:44:22.431
R2026031302065,user02,159,2026-03-08 00:00:00.000,2026-03-09 00:00:00.000,,,3,[NULL],PENDING,,2026-02-26 00:00:00.000,2026-03-13 12:44:22.431
R2026031302066,user03,160,2026-02-17 00:00:00.000,2026-02-19 00:00:00.000,,,5,[NULL],CANCELLED,,2026-02-08 00:00:00.000,2026-03-13 12:44:22.431
R2026031302067,user04,161,2026-02-18 00:00:00.000,2026-02-21 00:00:00.000,,,4,[NULL],RESERVED,,2026-02-10 00:00:00.000,2026-03-13 12:44:22.431
R2026031302068,user05,162,2026-01-01 00:00:00.000,2026-01-04 00:00:00.000,,,5,[NULL],NOSHOW,,2025-12-23 00:00:00.000,2026-03-13 12:44:22.431
R2026031302069,user06,163,2026-01-27 00:00:00.000,2026-01-30 00:00:00.000,,,3,[NULL],RESERVED,,2026-01-25 00:00:00.000,2026-03-13 12:44:22.431
R2026031302070,user07,164,2026-02-13 00:00:00.000,2026-02-14 00:00:00.000,,,3,[NULL],CANCELLED,,2026-02-07 00:00:00.000,2026-03-13 12:44:22.431
R2026031302071,user01,165,2026-02-26 00:00:00.000,2026-02-27 00:00:00.000,,,5,[NULL],RESERVED,,2026-02-25 00:00:00.000,2026-03-13 12:44:22.431
R2026031302072,user02,166,2026-02-07 00:00:00.000,2026-02-08 00:00:00.000,,,2,[NULL],COMPLETED,,2026-01-31 00:00:00.000,2026-03-13 12:44:22.431
R2026031302073,user03,167,2026-02-09 00:00:00.000,2026-02-11 00:00:00.000,,,2,[NULL],PENDING,,2026-02-09 00:00:00.000,2026-03-13 12:44:22.431
R2026031302074,user04,168,2026-01-28 00:00:00.000,2026-01-29 00:00:00.000,,,2,[NULL],CANCELLED,,2026-01-28 00:00:00.000,2026-03-13 12:44:22.431
R2026031302075,user05,169,2026-02-03 00:00:00.000,2026-02-05 00:00:00.000,,,5,[NULL],PENDING,,2026-01-31 00:00:00.000,2026-03-13 12:44:22.431
R2026031302076,user06,170,2026-02-19 00:00:00.000,2026-02-22 00:00:00.000,,,4,[NULL],NOSHOW,,2026-02-12 00:00:00.000,2026-03-13 12:44:22.431
R2026031302077,user07,171,2026-01-13 00:00:00.000,2026-01-14 00:00:00.000,,,2,[NULL],CANCELLED,,2026-01-10 00:00:00.000,2026-03-13 12:44:22.431
R2026031302078,user01,172,2026-03-31 00:00:00.000,2026-04-03 00:00:00.000,,,3,[NULL],PENDING,,2026-03-31 00:00:00.000,2026-03-13 12:44:22.431
R2026031302079,user02,173,2026-02-13 00:00:00.000,2026-02-14 00:00:00.000,,,2,[NULL],NOSHOW,,2026-02-13 00:00:00.000,2026-03-13 12:44:22.431
R2026031302080,user03,174,2026-03-28 00:00:00.000,2026-03-29 00:00:00.000,,,3,[NULL],CANCELLED,,2026-03-20 00:00:00.000,2026-03-13 12:44:22.431
R2026031302081,user04,175,2026-02-10 00:00:00.000,2026-02-12 00:00:00.000,,,4,[NULL],RESERVED,,2026-02-02 00:00:00.000,2026-03-13 12:44:22.431
R2026031302082,user05,176,2026-03-03 00:00:00.000,2026-03-05 00:00:00.000,,,5,[NULL],CANCELLED,,2026-02-26 00:00:00.000,2026-03-13 12:44:22.431
R2026031302083,user06,177,2026-03-13 00:00:00.000,2026-03-14 00:00:00.000,,,3,[NULL],CANCELLED,,2026-03-09 00:00:00.000,2026-03-13 12:44:22.431
R2026031302084,user07,178,2026-01-25 00:00:00.000,2026-01-26 00:00:00.000,,,3,[NULL],COMPLETED,,2026-01-25 00:00:00.000,2026-03-13 12:44:22.431
R2026031302085,user01,179,2026-04-11 00:00:00.000,2026-04-12 00:00:00.000,,,3,[NULL],COMPLETED,,2026-04-01 00:00:00.000,2026-03-13 12:44:22.431
R2026031302086,user02,180,2026-03-06 00:00:00.000,2026-03-07 00:00:00.000,,,5,[NULL],PENDING,,2026-03-03 00:00:00.000,2026-03-13 12:44:22.431
R2026031302087,user03,181,2026-03-08 00:00:00.000,2026-03-09 00:00:00.000,,,3,[NULL],COMPLETED,,2026-03-08 00:00:00.000,2026-03-13 12:44:22.431
R2026031302088,user04,182,2026-01-10 00:00:00.000,2026-01-13 00:00:00.000,,,5,[NULL],NOSHOW,,2026-01-02 00:00:00.000,2026-03-13 12:44:22.431
R2026031302089,user05,183,2026-01-28 00:00:00.000,2026-01-31 00:00:00.000,,,2,[NULL],CANCELLED,,2026-01-28 00:00:00.000,2026-03-13 12:44:22.431
R2026031302090,user06,184,2026-02-22 00:00:00.000,2026-02-24 00:00:00.000,,,2,[NULL],PENDING,,2026-02-19 00:00:00.000,2026-03-13 12:44:22.431
R2026031302091,user07,185,2026-03-10 00:00:00.000,2026-03-13 00:00:00.000,,,5,[NULL],RESERVED,,2026-03-07 00:00:00.000,2026-03-13 12:44:22.431
R2026031302092,user01,186,2026-02-13 00:00:00.000,2026-02-15 00:00:00.000,,,2,[NULL],PENDING,,2026-02-08 00:00:00.000,2026-03-13 12:44:22.431
R2026031302093,user02,187,2025-12-30 00:00:00.000,2026-01-02 00:00:00.000,,,3,[NULL],CANCELLED,,2025-12-29 00:00:00.000,2026-03-13 12:44:22.431
R2026031302094,user03,188,2026-01-29 00:00:00.000,2026-01-30 00:00:00.000,,,3,[NULL],CANCELLED,,2026-01-19 00:00:00.000,2026-03-13 12:44:22.431
R2026031302095,user04,189,2026-03-07 00:00:00.000,2026-03-09 00:00:00.000,,,3,[NULL],NOSHOW,,2026-03-06 00:00:00.000,2026-03-13 12:44:22.431
R2026031302096,user05,190,2026-02-05 00:00:00.000,2026-02-08 00:00:00.000,,,3,[NULL],PENDING,,2026-02-03 00:00:00.000,2026-03-13 12:44:22.431
R2026031302097,user06,191,2026-02-13 00:00:00.000,2026-02-15 00:00:00.000,,,4,[NULL],COMPLETED,,2026-02-03 00:00:00.000,2026-03-13 12:44:22.431
R2026031302098,user07,192,2026-03-21 00:00:00.000,2026-03-23 00:00:00.000,,,4,[NULL],COMPLETED,,2026-03-16 00:00:00.000,2026-03-13 12:44:22.431
R2026031302099,user01,193,2026-02-11 00:00:00.000,2026-02-14 00:00:00.000,,,4,[NULL],COMPLETED,,2026-02-07 00:00:00.000,2026-03-13 12:44:22.431
R2026031302100,user02,194,2026-01-24 00:00:00.000,2026-01-25 00:00:00.000,,,2,[NULL],COMPLETED,,2026-01-20 00:00:00.000,2026-03-13 12:44:22.431
R2026031302101,user03,195,2026-03-17 00:00:00.000,2026-03-18 00:00:00.000,,,4,[NULL],CANCELLED,,2026-03-07 00:00:00.000,2026-03-13 12:44:22.431
R2026031302102,user04,196,2026-01-31 00:00:00.000,2026-02-02 00:00:00.000,,,4,[NULL],COMPLETED,,2026-01-25 00:00:00.000,2026-03-13 12:44:22.431
