accommodation_id,description,phone,price,status
1,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",883-951-6780,51611,CLOSED
6,Morbi ut odio.,486-401-3118,75695,CLOSED
13,In congue. Etiam justo.,480-974-8194,117414,OPEN
15,Quisque id justo sit amet sapien dignissim vestibulum.,741-434-8041,129930,OPEN
16,Proin interdum mauris non ligula pellentesque ultrices.,529-442-3597,152708,CLOSED
18,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",132-484-7534,159925,OPEN
26,Pellentesque ultrices mattis odio. Donec vitae nisi.,625-623-6732,93000,OPEN
31,Morbi vel lectus in quam fringilla rhoncus.,883-313-9447,73160,OPEN
40,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",795-320-8376,162932,OPEN
46,Suspendisse ornare consequat lectus.,984-380-0740,13620,OPEN
49,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",456-601-8478,181724,CLOSED
50,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,280-884-5453,39067,CLOSED
54,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",999-107-2759,92598,CLOSED
55,Suspendisse potenti.,584-165-5602,22085,OPEN
64,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",731-740-7316,50108,OPEN
69,Aenean sit amet justo. Morbi ut odio.,823-853-8590,69036,OPEN
74,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,892-227-4041,12800,OPEN
77,Nulla tellus. In sagittis dui vel nisl.,329-560-8161,29395,CLOSED
78,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,267-705-0382,157968,CLOSED
81,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",441-386-9374,179049,OPEN
87,Nullam varius.,154-717-2835,130264,OPEN
93,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",348-307-1254,150833,OPEN
96,Ut at dolor quis odio consequat varius.,872-596-0196,76159,OPEN
101,Pellentesque ultrices mattis odio. Donec vitae nisi.,334-760-7186,193659,OPEN
106,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",626-731-8741,77343,OPEN
107,Praesent blandit.,567-285-7817,135137,OPEN
110,Cras in purus eu magna vulputate luctus.,213-197-8338,84611,OPEN
114,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",786-524-0752,133877,OPEN
118,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,301-865-4614,113892,OPEN
138,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,267-343-4042,23529,OPEN
139,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",281-783-8629,13473,CLOSED
140,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,379-328-8499,196291,CLOSED
141,Suspendisse ornare consequat lectus.,775-378-1557,151367,OPEN
146,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",932-202-5830,172999,OPEN
147,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",792-373-1123,177284,OPEN
148,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",192-862-6865,71311,OPEN
150,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",665-472-8714,159729,CLOSED
151,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",910-300-5311,34737,OPEN
152,Suspendisse potenti. Nullam porttitor lacus at turpis.,525-713-3649,10284,OPEN
155,Proin at turpis a pede posuere nonummy.,162-736-5895,160549,OPEN
161,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",480-586-0756,149020,CLOSED
165,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",372-101-8541,147460,OPEN
167,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",884-472-1198,176851,OPEN
169,Integer non velit.,231-771-3247,53218,OPEN
170,Donec semper sapien a libero.,672-256-3529,198457,OPEN
176,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,756-794-6803,136938,CLOSED
177,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",618-886-2530,16430,OPEN
181,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,886-414-0506,72745,OPEN
186,In blandit ultrices enim.,767-438-3035,64792,OPEN
187,Praesent lectus.,855-148-1380,22889,CLOSED
189,Integer a nibh.,428-797-7338,105862,CLOSED
190,Proin at turpis a pede posuere nonummy. Integer non velit.,537-777-4607,109462,OPEN
193,Aliquam erat volutpat. In congue.,473-819-8947,130278,CLOSED
209,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",323-367-3627,186903,OPEN
211,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,356-978-9933,160999,CLOSED
213,Etiam faucibus cursus urna.,157-987-0835,173290,OPEN
216,Maecenas rhoncus aliquam lacus.,481-920-1582,114965,OPEN
