place_id,place_type,name,address,view_count,latitude,longitude,image_url,created_at
1,ACC,아늑한 호텔,제주도 서귀포시 46번길,177,33.295463,126.621363,http://dummyimage.com/142x100.png/5fa2dd/ffffff,2025-05-25
2,REST,맛있는 맛집,부산광역시 진구 12번길,37,36.5,127.5,http://dummyimage.com/179x100.png/5fa2dd/ffffff,2025-10-10
3,ACC,상쾌한 리조트,제주도 제주시 100번길,153,33.268184,126.574032,http://dummyimage.com/198x100.png/cc0000/ffffff,2025-07-25
4,REST,숨겨진 맛집,부산광역시 수영구 35번길,351,36.5,127.5,http://dummyimage.com/240x100.png/ff4444/ffffff,2025-09-14
5,FEST,화려한 페스티벌,제주도 애월읍 57번길,487,33.436013,126.842937,http://dummyimage.com/168x100.png/cc0000/ffffff,2025-09-22
6,REST,노을 포차,강원도 강릉시 포남동 80번길,476,36.5,127.5,http://dummyimage.com/226x100.png/cc0000/ffffff,2026-02-10
7,REST,즐거운 식탁,서울특별시 마포구 77번길,122,36.5,127.5,http://dummyimage.com/152x100.png/ff4444/ffffff,2025-12-05
8,REST,숨겨진 식탁,서울특별시 마포구 38번길,64,36.5,127.5,http://dummyimage.com/142x100.png/ff4444/ffffff,2025-12-04
9,REST,맛있는 맛집,서울특별시 마포구 107번길,297,36.5,127.5,http://dummyimage.com/112x100.png/5fa2dd/ffffff,2025-12-30
10,REST,숨겨진 키친,부산광역시 해운대구 86번길,313,36.5,127.5,http://dummyimage.com/163x100.png/cc0000/ffffff,2025-12-23
11,REST,푸른 맛집,서울특별시 마포구 133번길,49,36.5,127.5,http://dummyimage.com/203x100.png/cc0000/ffffff,2026-01-03
12,ACC,바다 민박,부산광역시 진구 52번길,268,36.5,127.5,http://dummyimage.com/184x100.png/5fa2dd/ffffff,2025-05-25
13,REST,바다 테이블,서울특별시 마포구 132번길,326,36.5,127.5,http://dummyimage.com/178x100.png/5fa2dd/ffffff,2025-12-25
14,REST,숨겨진 맛집,부산광역시 진구 45번길,27,36.5,127.5,http://dummyimage.com/164x100.png/dddddd/000000,2025-11-19
15,REST,푸른 식당,서울특별시 마포구 137번길,404,36.5,127.5,http://dummyimage.com/149x100.png/dddddd/000000,2025-04-11
16,ACC,편안한 펜션,서울특별시 강남구 54번길,429,36.5,127.5,http://dummyimage.com/164x100.png/cc0000/ffffff,2025-10-12
17,REST,맛있는 식탁,제주도 제주시 126번길,15,33.240444,126.44792,http://dummyimage.com/185x100.png/ff4444/ffffff,2025-06-25
18,REST,푸른 테이블,제주도 제주시 30번길,71,33.344377,126.475705,http://dummyimage.com/130x100.png/ff4444/ffffff,2026-02-18
19,REST,숨겨진 키친,서울특별시 종로구 74번길,267,36.5,127.5,http://dummyimage.com/206x100.png/dddddd/000000,2025-08-29
20,REST,바다 식당,제주도 제주시 51번길,222,33.35337,126.857788,http://dummyimage.com/200x100.png/cc0000/ffffff,2025-12-21
21,REST,바다 키친,서울특별시 강남구 107번길,57,36.5,127.5,http://dummyimage.com/172x100.png/5fa2dd/ffffff,2026-02-09
22,REST,숨겨진 포차,강원도 강릉시 주문진 54번길,390,36.5,127.5,http://dummyimage.com/230x100.png/5fa2dd/ffffff,2026-02-07
23,REST,푸른 포차,강원도 강릉시 포남동 66번길,468,36.5,127.5,http://dummyimage.com/147x100.png/5fa2dd/ffffff,2025-04-09
24,REST,푸른 식탁,서울특별시 강남구 108번길,394,36.5,127.5,http://dummyimage.com/213x100.png/5fa2dd/ffffff,2025-05-24
25,ACC,편안한 호텔,제주도 서귀포시 24번길,478,33.376247,126.386376,http://dummyimage.com/244x100.png/dddddd/000000,2025-03-28
26,ACC,편안한 스테이,부산광역시 수영구 115번길,203,36.5,127.5,http://dummyimage.com/160x100.png/dddddd/000000,2026-02-07
27,ACC,바다 호텔,부산광역시 진구 65번길,286,36.5,127.5,http://dummyimage.com/162x100.png/dddddd/000000,2025-11-20
28,REST,노을 포차,서울특별시 마포구 108번길,235,36.5,127.5,http://dummyimage.com/160x100.png/dddddd/000000,2025-08-29
29,FEST,활기찬 페스티벌,서울특별시 종로구 35번길,288,36.5,127.5,http://dummyimage.com/225x100.png/ff4444/ffffff,2025-05-17
30,REST,맛있는 포차,부산광역시 진구 12번길,143,36.5,127.5,http://dummyimage.com/139x100.png/5fa2dd/ffffff,2025-12-14
31,ACC,고즈넉한 민박,서울특별시 종로구 116번길,178,36.5,127.5,http://dummyimage.com/220x100.png/ff4444/ffffff,2026-01-03
32,FEST,즐거운 문화제,부산광역시 수영구 73번길,418,36.5,127.5,http://dummyimage.com/216x100.png/cc0000/ffffff,2025-05-20
33,REST,맛있는 키친,서울특별시 강남구 114번길,369,36.5,127.5,http://dummyimage.com/181x100.png/ff4444/ffffff,2025-10-16
34,REST,푸른 테이블,서울특별시 종로구 115번길,123,36.5,127.5,http://dummyimage.com/206x100.png/dddddd/000000,2026-02-12
35,ACC,편안한 펜션,강원도 강릉시 주문진 92번길,465,36.5,127.5,http://dummyimage.com/184x100.png/cc0000/ffffff,2026-02-09
