restaurant_id,description,phone,category,status,restdate,areaCode
2,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",754-242-6088,일식,CLOSED,일요일에 쉽니다,01
4,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,176-871-7933,일식,CLOSED,연중무휴입니다,02
5,Etiam vel augue.,200-113-1273,일식,CLOSED,일요일에 쉽니다,01
7,Donec quis orci eget orci vehicula condimentum.,131-584-3084,기타,CLOSED,연중무휴입니다,02
8,Donec quis orci eget orci vehicula condimentum.,290-945-0536,일식,OPEN,일요일에 쉽니다,01
9,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,919-130-5076,카페/디저트,CLOSED,연중무휴입니다,02
10,Nulla mollis molestie lorem.,507-664-6563,카페/디저트,CLOSED,일요일에 쉽니다,01
19,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",429-700-1131,일식,CLOSED,연중무휴입니다,02
20,Duis ac nibh.,594-676-6092,한식,OPEN,일요일에 쉽니다,01
21,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",511-106-8822,한식,CLOSED,연중무휴입니다,02
24,Nulla suscipit ligula in lacus.,806-828-6644,양식,OPEN,일요일에 쉽니다,01
27,In quis justo.,215-534-0724,카페/디저트,OPEN,연중무휴입니다,02
28,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",207-776-0065,한식,CLOSED,일요일에 쉽니다,01
29,Sed accumsan felis. Ut at dolor quis odio consequat varius.,366-669-6742,카페/디저트,OPEN,연중무휴입니다,02
30,Nulla tempus.,515-428-8080,일식,OPEN,일요일에 쉽니다,01
32,Morbi non lectus.,303-307-3812,한식,OPEN,연중무휴입니다,02
33,Aenean auctor gravida sem.,439-132-7347,양식,CLOSED,일요일에 쉽니다,01
37,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",904-385-2859,기타,OPEN,연중무휴입니다,02
38,Nunc rhoncus dui vel sem. Sed sagittis.,298-920-7681,카페/디저트,CLOSED,일요일에 쉽니다,01
39,Phasellus id sapien in sapien iaculis congue.,775-453-4147,한식,OPEN,연중무휴입니다,02
41,Aliquam non mauris.,508-237-8984,기타,CLOSED,일요일에 쉽니다,01
42,Praesent blandit.,884-481-3776,기타,CLOSED,연중무휴입니다,02
43,Donec semper sapien a libero. Nam dui.,989-442-9487,중식,OPEN,일요일에 쉽니다,01
44,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",261-801-4351,양식,OPEN,연중무휴입니다,02
45,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,276-738-6250,카페/디저트,CLOSED,일요일에 쉽니다,01
48,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,980-418-6379,한식,CLOSED,연중무휴입니다,02
51,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",136-127-9859,양식,CLOSED,일요일에 쉽니다,01
56,Donec dapibus. Duis at velit eu est congue elementum.,860-164-9582,한식,CLOSED,연중무휴입니다,02
57,In hac habitasse platea dictumst.,438-662-3216,일식,CLOSED,일요일에 쉽니다,01
58,Praesent lectus.,255-143-2362,한식,CLOSED,연중무휴입니다,02
60,Quisque ut erat.,606-418-9910,일식,OPEN,일요일에 쉽니다,01
61,In blandit ultrices enim.,441-460-0697,일식,CLOSED,연중무휴입니다,02
