place_id,place_type
3,FEST
11,FEST
12,FEST
14,FEST
17,FEST
22,FEST
23,FEST
25,FEST
34,FEST
35,FEST
36,FEST
47,FEST
52,FEST
53,FEST
59,FEST
62,FEST
63,FEST
67,FEST
68,FEST
71,FEST
82,FEST
85,FEST
90,FEST
92,FEST
100,FEST
103,FEST
109,FEST
119,FEST
127,FEST
133,FEST
137,FEST
142,FEST
149,FEST
157,FEST
159,FEST
175,FEST
183,FEST
184,FEST
205,FEST
206,FEST
210,FEST
212,FEST
219,FEST
220,FEST
222,FEST
242,FEST
245,FEST
247,FEST
248,FEST
259,FEST
262,FEST
270,FEST
272,FEST
273,FEST
276,FEST
281,FEST
288,FEST
293,FEST
300,FEST
306,FEST
311,FEST
319,FEST
334,FEST
360,FEST
362,FEST
389,FEST
390,FEST
396,FEST
399,FEST
406,FEST
407,FEST
410,FEST
417,FEST
419,FEST
422,FEST
427,FEST
448,FEST
473,FEST
479,FEST
495,FEST
496,FEST
498,FEST
505,FEST
510,FEST
512,FEST
528,FEST
530,FEST
541,FEST
542,FEST
549,FEST
553,FEST
564,FEST
577,FEST
585,FEST
618,FEST
619,FEST
621,FEST
622,FEST
634,FEST
637,FEST
639,FEST
641,FEST
643,FEST
651,FEST
656,FEST
658,FEST
666,FEST
672,FEST
678,FEST
686,FEST
705,FEST
716,FEST
728,FEST
732,FEST
742,FEST
743,FEST
744,FEST
751,FEST
752,FEST
771,FEST
781,FEST
782,FEST
797,FEST
803,FEST
809,FEST
842,FEST
844,FEST
849,FEST
855,FEST
861,FEST
864,FEST
873,FEST
881,FEST
889,FEST
892,FEST
899,FEST
902,FEST
921,FEST
922,FEST
923,FEST
924,FEST
930,FEST
948,FEST
954,FEST
955,FEST
962,FEST
963,FEST
966,FEST
981,FEST
