place_id,place_type
2,REST
4,REST
5,REST
7,REST
8,REST
9,REST
10,REST
19,REST
20,REST
21,REST
24,REST
27,REST
28,REST
29,REST
30,REST
32,REST
33,REST
37,REST
38,REST
39,REST
41,REST
42,REST
43,REST
44,REST
45,REST
48,REST
51,REST
56,REST
57,REST
58,REST
60,REST
61,REST
65,REST
66,REST
70,REST
72,REST
73,REST
75,REST
76,REST
79,REST
80,REST
83,REST
84,REST
86,REST
88,REST
89,REST
91,REST
94,REST
95,REST
97,REST
98,REST
99,REST
102,REST
104,REST
105,REST
108,REST
111,REST
112,REST
113,REST
115,REST
116,REST
117,REST
120,REST
121,REST
122,REST
123,REST
124,REST
125,REST
126,REST
128,REST
129,REST
130,REST
131,REST
132,REST
134,REST
135,REST
136,REST
143,REST
144,REST
145,REST
153,REST
154,REST
156,REST
158,REST
160,REST
162,REST
163,REST
164,REST
166,REST
168,REST
171,REST
172,REST
173,REST
174,REST
178,REST
179,REST
180,REST
182,REST
185,REST
188,REST
191,REST
192,REST
194,REST
195,REST
196,REST
197,REST
198,REST
199,REST
200,REST
201,REST
202,REST
203,REST
204,REST
207,REST
208,REST
214,REST
215,REST
217,REST
221,REST
223,REST
224,REST
225,REST
226,REST
227,REST
230,REST
231,REST
232,REST
233,REST
234,REST
235,REST
237,REST
240,REST
243,REST
244,REST
249,REST
250,REST
251,REST
252,REST
254,REST
256,REST
261,REST
264,REST
266,REST
268,REST
269,REST
271,REST
275,REST
277,REST
278,REST
279,REST
280,REST
282,REST
283,REST
284,REST
286,REST
290,REST
291,REST
294,REST
296,REST
297,REST
299,REST
301,REST
302,REST
303,REST
307,REST
308,REST
309,REST
310,REST
312,REST
314,REST
316,REST
317,REST
320,REST
321,REST
323,REST
328,REST
329,REST
330,REST
332,REST
333,REST
335,REST
337,REST
339,REST
340,REST
343,REST
345,REST
347,REST
348,REST
350,REST
351,REST
352,REST
353,REST
354,REST
355,REST
356,REST
357,REST
359,REST
361,REST
363,REST
364,REST
365,REST
366,REST
367,REST
368,REST
369,REST
370,REST
372,REST
373,REST
376,REST
378,REST
379,REST
380,REST
384,REST
386,REST
388,REST
392,REST
393,REST
394,REST
395,REST
400,REST
401,REST
402,REST
403,REST
408,REST
409,REST
411,REST
412,REST
415,REST
416,REST
418,REST
421,REST
423,REST
424,REST
425,REST
430,REST
431,REST
432,REST
433,REST
436,REST
437,REST
438,REST
439,REST
440,REST
442,REST
445,REST
447,REST
449,REST
450,REST
451,REST
452,REST
453,REST
454,REST
455,REST
456,REST
457,REST
458,REST
460,REST
462,REST
465,REST
466,REST
467,REST
468,REST
470,REST
471,REST
474,REST
476,REST
477,REST
478,REST
480,REST
481,REST
483,REST
485,REST
486,REST
487,REST
488,REST
489,REST
490,REST
491,REST
492,REST
493,REST
500,REST
501,REST
502,REST
504,REST
507,REST
509,REST
513,REST
514,REST
515,REST
516,REST
518,REST
519,REST
521,REST
524,REST
525,REST
526,REST
527,REST
529,REST
532,REST
534,REST
535,REST
537,REST
539,REST
540,REST
544,REST
545,REST
547,REST
551,REST
552,REST
554,REST
556,REST
557,REST
558,REST
559,REST
560,REST
562,REST
563,REST
565,REST
566,REST
567,REST
570,REST
576,REST
579,REST
580,REST
581,REST
582,REST
